,Best model,name,model_type,metric_type,metric_value,train_time
0,,1_Baseline,Baseline,rmse,15.6811,0.19
1,,2_DecisionTree,Decision Tree,rmse,12.3305,10.12
2,,3_Linear,Linear,rmse,17.3341,2.57
3,,4_Default_Xgboost,Xgboost,rmse,6.97197,4.47
4,,5_Default_NeuralNetwork,Neural Network,rmse,10.7188,0.79
5,,6_Default_RandomForest,Random Forest,rmse,13.2731,3.08
6,the best,Ensemble,Ensemble,rmse,6.29788,0.11
