,Best model,name,model_type,metric_type,metric_value,train_time
0,,1_Baseline,Baseline,rmse,147.349,0.39
1,,2_DecisionTree,Decision Tree,rmse,71.2099,36.51
2,the best,3_Linear,Linear,rmse,34.1282,16.59
3,,4_Default_Xgboost,Xgboost,rmse,61.5598,12.34
4,,5_Default_NeuralNetwork,Neural Network,rmse,64.2611,22.97
5,,6_Default_RandomForest,Random Forest,rmse,58.5626,23.29
6,,Ensemble,Ensemble,rmse,34.1282,0.12
