,Best model,name,model_type,metric_type,metric_value,train_time
0,,1_Baseline,Baseline,rmse,65.581,0.28
1,,2_DecisionTree,Decision Tree,rmse,52.8481,11.49
2,,3_Linear,Linear,rmse,40.2766,10.6
3,,4_Default_Xgboost,Xgboost,rmse,43.2487,18.14
4,,5_Default_NeuralNetwork,Neural Network,rmse,51.7376,2.64
5,,6_Default_RandomForest,Random Forest,rmse,46.464,14.69
6,,4_Default_Xgboost_categorical_mix,Xgboost,rmse,43.0563,17.62
7,the best,Ensemble,Ensemble,rmse,38.3926,0.14
